project_name,source_name,github_url,has_version_tags,git_tag_format
bitcoin-rpc-proxy,btc-rpc-proxy,https://github.com/Kixunil/btc-rpc-proxy,True,v$(BITCOIN_RPC_PROXY_VERSION)
bitcoin-whitepaper,bitcoin-whitepaper,,False,
bitcoin,bitcoin,https://github.com/bitcoin/bitcoin,True,
btc-rpc-explorer,btc-rpc-explorer,https://github.com/janoside/btc-rpc-explorer,True,v$(BTC_RPC_EXPLORER_VERSION)
btc-transmuter,btc-transmuter,https://github.com/btcpayserver/btcTransmuter,True,v$(BTC_TRANSMUTER_VERSION)
btcpayserver,btcpayserver,https://github.com/btcpayserver/btcpayserver,True,v$(BTCPAYSERVER_VERSION)
electrs,electrs,https://github.com/romanz/electrs,True,v$(ELECTRS_VERSION)
electrum,electrum,https://github.com/spesmilo/electrum,True,
lnd,lnd,https://github.com/lightningnetwork/lnd,True,
lndconnect,lndconnect,https://github.com/LN-Zap/lndconnect,True,
lnpbp-testkit,lnpbp-testkit,https://github.com/Kixunil/lnpbp-testkit,True,v$(LNPBP_TESTKIT_VERSION)
nbxplorer,nbxplorer,https://github.com/dgarage/NBXplorer,True,v$(NBXPLORER_VERSION)
remir,remir,https://github.com/Kixunil/remir,True,v$(REMIR_VERSION)
ridetheln,ridetheln,https://github.com/Ride-The-Lightning/RTL,True,v$(RIDETHELN_VERSION)
selfhost-dashboard,selfhost-dashboard,https://github.com/Kixunil/selfhost-dashboard,True,v$(SELFHOST_DASHBOARD_VERSION)
selfhost,selfhost,,False,
thunderhub,thunderhub,https://github.com/Kixunil/thunderhub,True,v$(THUNDERHUB_VERSION)
tor-extras,tor-extras,,False,
